taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY635768	KY635768	-	855	NULL	Bangladesh	2015	Anas sp.	-	A5|D1|A12|H7|A8|N1|A|A	H7N1	A/duck/Bangladesh/24692/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/KY644301	KY644301	-	890	-	Guatemala	2011	Anas discors	-	B9|E1|A3|H11|A11|N3|B|A	H11N3	A/blue-winged teal/Guatemala/CIP049H105-04/2011
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/KY644371	KY644371	-	889	-	Guatemala	2011	Anas clypeata	-	B9|E1|A3|H11|A11|N3|B|A	H11N3	A/northern shoveler/Guatemala/CIP049H104-69/2011
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/KY644400	KY644400	-	890	-	Guatemala	2012	Anas discors	-	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/blue-winged teal/Guatemala/CIP049H110-37/2012
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY709699	KY709699	-	837	NULL	Chile	2016	Haematopus ater	-	B1|E1|A2|H2|A4|N2|B|A	H2N2	A/blackish oystercatcher/Chile/C6534/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY990785	KY990785	-	890	NULL	USA	2016	Anas platyrhynchos	-	B10|E1|A3|H12|A11|N5|B|A	H12N5	A/mallard duck/California/UCD470/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC371822	LC371822	-	877	Hokkaido	Japan	2014	Anseriformes sp.	-	A3|D1|A12|H8|A8|N2|A|A	H8N2	A/duck/Hokkaido/207/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC371846	LC371846	-	875	Hokkaido	Japan	2001	Anseriformes sp.	-	A5|D1|A11|H2|A8|N2|A|B	H2N2	A/duck/Hokkaido/95/2001
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC431480	LC431480	-	869	Alaska	USA	1994	Anseriformes sp.	-	B8|E1|A7|H2|A11|N3|B|A	H2N3	A/duck/Alaska/5111/1994
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MF145791	MF145791	-	890	NULL	Netherlands	2012	Chroicocephalus ridibundus	-	A2|E1|A12|-|A7|N6|A|A	HXN6	A/black-headed gull/Netherlands/57/2012
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MF145832	MF145832	-	890	-	Netherlands	2005	Anas platyrhynchos	-	A5|D1|A12|H11|A8|N3|A|B	H11N3	A/mallard duck/Netherlands/24/2005
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MF147504	MF147504	-	890	NULL	Netherlands	2008	Chroicocephalus ridibundus	-	A2|E1|A6|-|A7|N8|A|A	HXN8	A/black-headed gull/Netherlands/2/2008
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MF959996	MF959996	-	890	NULL	Netherlands	2001	Anas platyrhynchos	-	A4|D1|A12|H3|A8|N6|A|A	H3N6	A/mallard duck/Netherlands/3/2001
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MF978418	MF978418	-	890	NULL	USA	2016	Felidae sp.	-	B3|E1|A8|H7|A11|N2|B|B	H7N2	A/feline/New York/WVDL-16/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MG214168	MG214168	-	838	-	China	2017	Anseriformes sp.	-	A3|D1|A5|H11|A8|N3|A|A	H11N3	A/duck/Fujian/SD061/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MG214169	MG214169	-	838	-	China	2017	-	poultry slaughterhouse	A3|D1|A5|H11|A8|N3|A|B	H11N3	A/environment/Fujian/S1XA33/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MG280339	MG280339	-	890	-	USA	2017	Anas crecca	-	B10|E1|A7|H11|A11|N3|B|A	H11N3	A/green-winged teal/Tennessee/17OS0664/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH134670	MH134670	-	890	NULL	Chile	2016	Anas georgica	-	B1|E1|A2|H12|A4|N5|B|B	H12N5	A/yellow-billed pintail/Chile/C14831/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH502286	MH502286	-	865	New Jersey	USA	2013	Arenaria interpres	feces	B10|E1|A7|H10|A11|N2|B|A	H10N2	A/ruddy turnstone/New Jersey/AI13-2544/2013
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH569267	MH569267	-	865	Alaska	USA	2015	Anser canagicus	Environmental (feces)	B9|E1|A3|H3|A11|N7|B|A	H3N7	A/emperor goose/Alaska/UGAI15-8445/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MH569299	MH569299	-	865	-	USA	2015	Anser canagicus	Environmental (feces)	B4|E1|A7|H11|A11|N3|B|A	H11N3	A/emperor goose/Alaska/UGAI15-8460/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH578894	MH578894	-	863	NULL	USA	2003	Arenaria interpres	-	B5|E1|A10|H9|A11|N1|A|A	H9N1	A/ruddy turnstone/Delaware Bay/95/2003
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH579079	MH579079	-	863	NULL	USA	2007	Arenaria interpres	-	B9|E1|A10|H12|A11|N1|B|A	H12N1	A/ruddy turnstone/Delaware Bay/554/2007
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH596897	MH596897	-	865	Delaware	USA	2002	Arenaria interpres	feces;SPF ECE	B5|E1|A3|H7|A11|N3|B|A	H7N3	A/ruddy turnstone/Delaware/650622/2002
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MH597385	MH597385	-	865	-	-	-	-	-	-	-	A/ruddy turnstone/Delaware/650612/2002
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH598161	MH598161	-	865	New Jersey	USA	2000	Arenaria interpres	feces;SPF ECE	B9|E1|A3|H12|A11|N5|B|A	H12N5	A/ruddy turnstone/New Jersey/AI00-1091/2000
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MH613324	MH613324	-	863	NULL	USA	2005	Arenaria interpres	-	B9|E1|A7|H11|A11|N8|B|B	H11N8	A/ruddy turnstone/Delaware Bay/446/2005
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MK077428	MK077428	-	865	New York	USA	2018	Homo sapiens	-	B2|C1|A1|H3|A2|N2|B2|A	H3N2	A/New York/40/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK236727	MK236727	-	879	-	USA	2017	Anas carolinensis	cloacal	B10|E1|A11|H11|A11|N3|B|A	H11N3	A/American green-winged teal/Wisconsin/17OS4004/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237120	MK237120	-	865	-	USA	2017	Anas platyrhynchos	cloacal	B10|E1|A11|H11|A11|N3|B|B	H11N3	A/mallard/Ohio/17OS5348/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237331	MK237331	-	882	-	USA	2017	Anas discors	cloacal	B10|E1|A11|H11|A11|N3|B|A	H11N3	A/blue-winged teal/Wisconsin/17OS3270/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237505	MK237505	-	890	-	USA	2017	Anas acuta	cloacal	B10|E1|A11|H11|A11|N3|B|B	H11N3	A/northern pintail/Ohio/17OS3788/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237546	MK237546	-	890	-	-	-	-	-	-	-	A/northern pintail/Ohio/17OS5380/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237655	MK237655	-	882	-	USA	2017	Anas platyrhynchos	cloacal	B10|E1|A11|H11|A11|N3|B|A	H11N3	A/mallard/Ohio/17OS3004/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MK237788	MK237788	-	865	-	USA	2017	Anas platyrhynchos	cloacal	B10|E1|A11|H11|A11|N3|B|A	H11N3	A/mallard/Wisconsin/17OS3974/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MN055190	MN055190	-	890	NULL	Chile	2018	Pygoscelis antarcticus	feces	B9|A1|A2|H11|A11|N2|B|A	H11N2	A/chinstrap penguin/Antarctica/HP04/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MN988218	MN988218	-	838	Minnesota	USA	2018	Anas platyrhynchos	oropharyngeal/cloacal swab pool from individual bird	B10|E1|A3|H2|A11|N3|B|A	H2N3	A/mallard/Minnesota/MN18-WB1-025A/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT090215	MT090215	-	865	-	Bangladesh	2019	Anas sp.	Cloacal	A5|D1|A12|H11|A8|N3|A|B	H11N3	A/duck/Bangladesh/38803/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT090339	MT090339	-	865	-	Bangladesh	2019	Anas sp.	Oral-pharyngeal	A5|D1|A12|H11|A8|N3|A|A	H11N3	A/duck/Bangladesh/38285/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT090433	MT090433	-	865	-	Bangladesh	2019	Anas sp.	Combined cloacal and oral-pharyngeal	A5|D1|A12|H11|A8|N3|A|A	H11N3	A/duck/Bangladesh/38297/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT090538	MT090538	-	865	-	Bangladesh	2019	Anas sp.	Cloacal	A5|D1|A12|H11|A8|N3|A|B	H11N3	A/duck/Bangladesh/38827/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT090556	MT090556	-	865	-	Bangladesh	2019	Anas sp.	Combined cloacal and oral-pharyngeal	A5|D1|A12|H11|A8|N3|A|A	H11N3	A/duck/Bangladesh/38305/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MT824625	MT824625	-	890	-	USA	2017	Anas acuta	Cloacal	B10|E1|A3|H11|A11|N3|B|B	H11N3	A/Northern Pintail/Ohio/17OS5380/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW109588	MW109588	-	838	Jiangxi	China	2017	Environment	swab	A4|D1|A5|H6|A8|N6|A|A	H6N6	A/environment/Jiangxi/2.16_SRGFYK103-E/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW333290	MW333290	33932612	890	Kaohsiung	Taiwan	2016	Gallus gallus	brain	A5|D1|A12|H5|A8|N8|A|A	H5N8	A/chicken/Kaohsiung/16040021-1/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW342704	MW342704	-	838	Kagoshima	Japan	2020	Mareca falcata	feces	A5|D1|A12|H5|A8|N8|A|A	H5N8	A/falcated duck/Kagoshima/KU-d3/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW547765	MW547765	-	855	Gunsan	South Korea	2006	Aves	Geumgang	A5|D1|A12|H10|A8|N9|A|B	H10N9	A/aquatic bird/Gunsan/145/2006
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW848664	MW848664	-	890	NULL	Spain	2019	Sus scrofa	Lungs	A3|D1|A4|H1|A8|N2|A|A	H1N2	A/swine/Spain/25001-2/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW857530	MW857530	-	838	NULL	Thailand	2015	Anseriformes sp.	cloacal swab	A5|D1|A12|H11|A6|N7|B|A	H11N7	A/duck/Thailand/CU-16340C/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW875659	MW875659	-	865	NULL	USA	2020	Arenaria interpres	feces	B10|E1|A11|H4|A11|N9|B|A	H4N9	A/ruddy turnstone/Delaware Bay/235/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MW875723	MW875723	-	865	-	USA	2020	Arenaria interpres	feces	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/ruddy turnstone/Delaware Bay/231/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MW875794	MW875794	-	865	-	USA	2020	Arenaria interpres	feces	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/ruddy turnstone/Delaware Bay/232/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/MW876048	MW876048	-	865	-	-	-	-	-	-	-	A/ruddy turnstone/Delaware Bay/209/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW876048	MW876048	-	865	NULL	USA	2020	Arenaria interpres	feces	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/ruddy turnstone/Delaware Bay/209/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MW876091	MW876091	-	865	NULL	USA	2020	Arenaria interpres	feces	B10|E1|A11|H12|A11|N1|B|A	H12N1	A/ruddy turnstone/Delaware Bay/218/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MZ565048	MZ565048	-	838	Jalisco	Mexico	2019	Gallus gallus	cloacal swab	B9|E1|A10|H5|A10|N2|B3|B	H5N2	A/chicken/Jalisco/CPA-06432-19/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MZ565344	MZ565344	-	838	Queretaro	Mexico	2019	Gallus gallus	tracheal swab	B9|E1|A10|H5|A10|N2|B3|B	H5N2	A/chicken/Queretaro/CPA-03805-19/2019
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MZ565614	MZ565614	-	886	NULL	Iceland	2012	Larus fuscus	cloacal swab	B4|D1|A12|H2|A8|N7|A|A	H2N7	A/lesser black-backed gull/Iceland/1656/2012
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/MZ945744	MZ945744	-	890	NULL	Spain	2017	Sus scrofa	nasal swab	A3|D1|A4|H1|A8|N2|B|A	H1N2	A/swine/Spain/45600-2/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/NC_002020	NC_002020	7241645	890	Puerto Rico	USA	1934	Homo sapiens	nasal swab	B2|A1|A1|H1|A2|N1|B|A	H1N1	A/Puerto Rico/8/1934
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/NC_007370	NC_007370	-	890	Tompkins County, NY	USA	2004	Homo sapiens	gender:M; age:16y	B2|C1|A1|H3|A2|N2|B2|A	H3N2	A/New York/392/2004
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OL370771	OL370771	-	838	Tasmania, King Island	Australia	2018	Arenaria interpres	pooled cloacal and oropharyngeal swab	A5|D1|A12|H12|A8|N5|A|A	H12N5	A/ruddy turnstone/King Island/13149/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OL371259	OL371259	-	838	Victoria	Australia	2014	Anseriformes sp.	pooled fecal swabs	A3|B1|A12|H5|A9|N9|A|A	H5N9	A/wild duck/Victoria/14-0961-1/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OL371515	OL371515	-	838	South Australia	Australia	2018	Aves	pooled fecal swabs	A3|B1|A12|H9|A9|N5|A|A	H9N5	A/wild waterbird/South Australia/18-9201854-12/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OL371659	OL371659	-	838	Tasmania	Australia	2018	Aves	pooled fecal swabs	A5|D1|A12|H1|A11|N7|A|A	H1N7	A/wild waterbird/Tasmania/18-1081-5/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-curated-segment-8/OL372195	OL372195	-	838	-	Australia	2018	Aves	pooled fecal swabs	A5|D1|A12|H11|A11|N3|A|A	H11N3	A/wild waterfowl/Western Australia/AS18-1331-10/2018
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OM373274	OM373274	-	838	Shandong province	China	2020	Anseriformes sp.	-	A5|D1|A12|H10|A8|N8|A|A	H10N8	A/swan/Shandong/W3875/2020
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/OM966130	OM966130	-	865	NULL	USA	2021	Arenaria interpres	feces	B10|E1|A11|H10|A11|N9|B|A	H10N9	A/Ruddy Turnstone/Delaware/49/2021
